Store,Date,Sales
04,2015-06-28,-149.62
05,2015-06-28,-109.33
06,2015-06-28,41.92
07,2015-06-28,110.12
08,2015-06-28,-51.57
10,2015-06-28,-128.19
09,2015-06-28,72.96
01,2015-06-27,9523.86
02,2015-06-27,12946.72
03,2015-06-27,2093.13
04,2015-06-27,4971.3
05,2015-06-27,9086.38
06,2015-06-27,6620.72
07,2015-06-27,19343.38
08,2015-06-27,9915.93
10,2015-06-27,7912.58
09,2015-06-27,2855.72
01,2015-06-26,11732.64
02,2015-06-26,10110.52
03,2015-06-26,3062.96
04,2015-06-26,4653.01
05,2015-06-26,7059.45
06,2015-06-26,6379.67
07,2015-06-26,15009.53
08,2015-06-26,5487.48
10,2015-06-26,5592.24
09,2015-06-26,3428.5
01,2015-06-25,13176.53
02,2015-06-25,10301.5
03,2015-06-25,2622.82
04,2015-06-25,5385.63
05,2015-06-25,7623.04
06,2015-06-25,6384.6
07,2015-06-25,14382.0
08,2015-06-25,5603.37
10,2015-06-25,5928.34
09,2015-06-25,3392.77
01,2015-06-24,12842.3
02,2015-06-24,10715.99
03,2015-06-24,2805.32
04,2015-06-24,4403.11
05,2015-06-24,7961.36
06,2015-06-24,6908.41
07,2015-06-24,13573.13
08,2015-06-24,5913.26
10,2015-06-24,6437.25
09,2015-06-24,3580.84
01,2015-06-23,14146.57
02,2015-06-23,9474.49
03,2015-06-23,2789.11
04,2015-06-23,5018.12
05,2015-06-23,7960.0
06,2015-06-23,6228.76
07,2015-06-23,12585.04
08,2015-06-23,5560.55
10,2015-06-23,6694.35
09,2015-06-23,3676.72
01,2015-06-22,13905.91
02,2015-06-22,9371.48
03,2015-06-22,2420.9
04,2015-06-22,4709.78
05,2015-06-22,8607.04
06,2015-06-22,6920.71
07,2015-06-22,13696.53
08,2015-06-22,5140.54
10,2015-06-22,5516.39
09,2015-06-22,3928.26
01,2015-06-21,7479.51
02,2015-06-21,-136.03
03,2015-06-21,92.81
04,2015-06-21,101.24
05,2015-06-21,34.62
06,2015-06-21,-21.42
07,2015-06-21,-8.01
08,2015-06-21,-54.09
10,2015-06-21,34.61
09,2015-06-21,147.61
01,2015-06-20,9495.47
02,2015-06-20,11242.06
03,2015-06-20,2161.25
04,2015-06-20,4761.85
05,2015-06-20,10317.75
06,2015-06-20,5996.31
07,2015-06-20,18866.04
08,2015-06-20,7496.06
10,2015-06-20,8343.51
09,2015-06-20,2602.0
01,2015-06-19,16345.4
02,2015-06-19,11778.78
03,2015-06-19,4131.02
04,2015-06-19,5936.82
05,2015-06-19,11095.03
06,2015-06-19,7066.84
07,2015-06-19,17548.02
08,2015-06-19,6368.39
10,2015-06-19,8305.21
09,2015-06-19,3691.09
01,2015-06-18,18762.76
02,2015-06-18,12060.56
03,2015-06-18,3821.81
04,2015-06-18,7350.01
05,2015-06-18,9353.67
06,2015-06-18,7386.83
07,2015-06-18,17495.97
08,2015-06-18,6634.04
10,2015-06-18,8841.73
09,2015-06-18,4267.7
01,2015-06-17,19289.22
02,2015-06-17,13851.17
03,2015-06-17,3915.55
04,2015-06-17,7126.51
05,2015-06-17,12216.34
06,2015-06-17,8214.46
07,2015-06-17,19300.43
08,2015-06-17,8098.55
10,2015-06-17,10208.61
09,2015-06-17,4753.84
01,2015-06-16,21028.72
02,2015-06-16,15324.19
03,2015-06-16,4798.72
04,2015-06-16,8426.83
05,2015-06-16,13457.78
06,2015-06-16,8194.24
07,2015-06-16,19617.17
08,2015-06-16,8519.16
10,2015-06-16,11521.55
09,2015-06-16,5245.75
01,2015-06-15,23437.93
02,2015-06-15,16171.74
03,2015-06-15,5590.14
04,2015-06-15,10658.17
05,2015-06-15,15320.34
06,2015-06-15,9421.92
07,2015-06-15,22640.94
08,2015-06-15,10248.94
10,2015-06-15,13626.69
09,2015-06-15,5569.75
01,2015-06-14,8502.84
02,2015-06-14,-59.49
03,2015-06-14,129.53
04,2015-06-14,-32.53
05,2015-06-14,-98.79
06,2015-06-14,-73.66
07,2015-06-14,32.12
08,2015-06-14,75.77
10,2015-06-14,-32.61
09,2015-06-14,-121.9
01,2015-06-13,9178.86
02,2015-06-13,12446.18
03,2015-06-13,2037.62
04,2015-06-13,4362.93
05,2015-06-13,9159.33
06,2015-06-13,6584.75
07,2015-06-13,19152.3
08,2015-06-13,7759.08
10,2015-06-13,7764.18
09,2015-06-13,2703.09
01,2015-06-12,11796.65
02,2015-06-12,9169.13
03,2015-06-12,2838.63
04,2015-06-12,4951.34
05,2015-06-12,7518.91
06,2015-06-12,8315.37
07,2015-06-12,14522.84
08,2015-06-12,5982.33
10,2015-06-12,6394.97
09,2015-06-12,3383.05
01,2015-06-11,12594.38
02,2015-06-11,9726.89
03,2015-06-11,2940.41
04,2015-06-11,5852.44
05,2015-06-11,8569.71
06,2015-06-11,9667.57
07,2015-06-11,14255.55
08,2015-06-11,6128.79
10,2015-06-11,7560.84
09,2015-06-11,3809.62
01,2015-06-10,13982.75
02,2015-06-10,9987.82
03,2015-06-10,2749.36
04,2015-06-10,5293.35
05,2015-06-10,8252.7
06,2015-06-10,9306.43
07,2015-06-10,14012.45
08,2015-06-10,5187.58
10,2015-06-10,6857.15
09,2015-06-10,3517.83
01,2015-06-09,13554.16
02,2015-06-09,10522.53
03,2015-06-09,3284.41
04,2015-06-09,5691.22
05,2015-06-09,9217.27
06,2015-06-09,9910.49
07,2015-06-09,14710.81
08,2015-06-09,5880.21
10,2015-06-09,7154.52
09,2015-06-09,3392.27
01,2015-06-08,13253.17
02,2015-06-08,10764.9
03,2015-06-08,2978.36
04,2015-06-08,5218.85
05,2015-06-08,9127.0
06,2015-06-08,10122.75
07,2015-06-08,15855.94
08,2015-06-08,5796.43
10,2015-06-08,7962.13
09,2015-06-08,4224.91
01,2015-06-07,8494.74
02,2015-06-07,63.35
03,2015-06-07,255.44
04,2015-06-07,-178.02
05,2015-06-07,-74.06
06,2015-06-07,-152.14
07,2015-06-07,27.12
08,2015-06-07,110.58
10,2015-06-07,35.81
09,2015-06-07,-73.29
01,2015-06-06,9180.08
02,2015-06-06,13245.89
03,2015-06-06,2407.92
04,2015-06-06,5581.56
05,2015-06-06,9211.45
06,2015-06-06,9301.06
07,2015-06-06,19214.54
08,2015-06-06,7826.69
10,2015-06-06,8821.12
09,2015-06-06,3022.49
01,2015-06-05,17409.0
02,2015-06-05,16241.79
03,2015-06-05,4365.13
04,2015-06-05,7628.97
05,2015-06-05,13729.72
06,2015-06-05,11323.31
07,2015-06-05,23547.91
08,2015-06-05,10020.01
10,2015-06-05,12159.78
09,2015-06-05,5238.57
01,2015-06-04,10959.68
02,2015-06-04,194.64
03,2015-06-04,184.97
04,2015-06-04,-0.62
05,2015-06-04,101.4
06,2015-06-04,12629.45
07,2015-06-04,1.85
08,2015-06-04,108.27
10,2015-06-04,263.71
09,2015-06-04,-62.6
01,2015-06-03,21813.6
02,2015-06-03,16808.36
03,2015-06-03,4366.82
04,2015-06-03,8573.43
05,2015-06-03,14917.83
06,2015-06-03,12675.76
07,2015-06-03,20556.44
08,2015-06-03,9100.18
10,2015-06-03,10770.25
09,2015-06-03,5349.19
01,2015-06-02,21663.12
02,2015-06-02,16325.75
03,2015-06-02,4759.68
04,2015-06-02,7486.34
05,2015-06-02,15233.41
06,2015-06-02,13884.69
07,2015-06-02,20747.62
08,2015-06-02,9106.72
10,2015-06-02,11293.78
09,2015-06-02,5426.79
01,2015-06-01,25267.09
02,2015-06-01,17734.6
03,2015-06-01,6369.52
04,2015-06-01,8648.28
05,2015-06-01,15422.48
06,2015-06-01,16511.46
07,2015-06-01,25303.25
08,2015-06-01,10577.83
10,2015-06-01,14537.79
09,2015-06-01,7889.91
01,2015-05-31,9929.46
02,2015-05-31,-32.82
03,2015-05-31,-28.62
04,2015-05-31,-51.09
05,2015-05-31,132.4
06,2015-05-31,164.39
07,2015-05-31,-152.24
08,2015-05-31,132.61
10,2015-05-31,-107.82
09,2015-05-31,148.36
01,2015-05-30,11624.13
02,2015-05-30,13672.91
03,2015-05-30,2502.6
04,2015-05-30,6012.06
05,2015-05-30,12440.28
06,2015-05-30,10965.47
07,2015-05-30,18208.87
08,2015-05-30,8120.69
10,2015-05-30,8342.4
09,2015-05-30,3937.95
01,2015-05-29,15304.63
02,2015-05-29,11717.23
03,2015-05-29,3765.22
04,2015-05-29,6609.92
05,2015-05-29,10951.58
06,2015-05-29,11108.02
07,2015-05-29,19202.79
08,2015-05-29,7436.39
10,2015-05-29,7861.98
09,2015-05-29,5025.68
01,2015-05-28,13910.26
02,2015-05-28,10173.42
03,2015-05-28,3360.57
04,2015-05-28,6179.81
05,2015-05-28,9687.88
06,2015-05-28,9499.76
07,2015-05-28,13519.96
08,2015-05-28,5476.06
10,2015-05-28,6837.58
09,2015-05-28,3648.25
01,2015-05-27,13034.13
02,2015-05-27,10245.96
03,2015-05-27,3312.77
04,2015-05-27,5425.75
05,2015-05-27,8645.87
06,2015-05-27,10091.4
07,2015-05-27,14523.36
08,2015-05-27,5070.82
10,2015-05-27,6567.35
09,2015-05-27,3586.73
01,2015-05-26,13834.85
02,2015-05-26,11060.41
03,2015-05-26,3767.08
04,2015-05-26,6302.05
05,2015-05-26,10699.43
06,2015-05-26,10502.91
07,2015-05-26,17168.5
08,2015-05-26,6120.02
10,2015-05-26,7578.83
09,2015-05-26,5168.42
01,2015-05-25,10149.67
02,2015-05-25,72.15
03,2015-05-25,-46.48
04,2015-05-25,189.07
05,2015-05-25,-110.79
06,2015-05-25,221.11
07,2015-05-25,0.62
08,2015-05-25,-163.32
10,2015-05-25,208.34
09,2015-05-25,-78.72
01,2015-05-24,8311.15
02,2015-05-24,93.16
03,2015-05-24,48.61
04,2015-05-24,-131.07
05,2015-05-24,-1.87
06,2015-05-24,-39.67
07,2015-05-24,161.75
08,2015-05-24,112.07
10,2015-05-24,-172.09
09,2015-05-24,40.42
01,2015-05-23,9463.22
02,2015-05-23,12213.73
03,2015-05-23,2154.84
04,2015-05-23,4487.33
05,2015-05-23,11656.38
06,2015-05-23,9145.71
07,2015-05-23,18045.56
08,2015-05-23,6527.24
10,2015-05-23,7678.8
09,2015-05-23,3311.85
01,2015-05-22,14933.98
02,2015-05-22,12636.42
03,2015-05-22,4155.6
04,2015-05-22,5953.64
05,2015-05-22,11111.49
06,2015-05-22,11104.0
07,2015-05-22,16330.44
08,2015-05-22,6460.29
10,2015-05-22,8720.37
09,2015-05-22,4173.77
01,2015-05-21,16048.52
02,2015-05-21,12906.42
03,2015-05-21,3862.4
04,2015-05-21,7038.8
05,2015-05-21,12228.73
06,2015-05-21,10685.44
07,2015-05-21,17582.12
08,2015-05-21,6894.15
10,2015-05-21,9520.3
09,2015-05-21,4561.66
01,2015-05-20,17418.16
02,2015-05-20,12113.33
03,2015-05-20,3996.56
04,2015-05-20,7030.49
05,2015-05-20,10834.75
06,2015-05-20,11011.59
07,2015-05-20,19271.08
08,2015-05-20,6845.35
10,2015-05-20,9415.95
09,2015-05-20,4297.35
01,2015-05-19,19489.26
02,2015-05-19,14255.56
03,2015-05-19,4152.03
04,2015-05-19,7658.8
05,2015-05-19,13317.49
06,2015-05-19,12173.25
07,2015-05-19,17597.26
08,2015-05-19,7150.93
10,2015-05-19,9311.76
09,2015-05-19,4371.11
01,2015-05-18,21890.12
02,2015-05-18,15082.11
03,2015-05-18,4842.75
04,2015-05-18,8870.0
05,2015-05-18,14878.42
06,2015-05-18,13417.39
07,2015-05-18,21248.82
08,2015-05-18,9597.43
10,2015-05-18,12312.3
09,2015-05-18,5523.97
01,2015-05-17,8054.82
02,2015-05-17,-102.5
03,2015-05-17,-96.42
04,2015-05-17,72.07
05,2015-05-17,61.38
06,2015-05-17,-139.42
07,2015-05-17,-17.98
08,2015-05-17,-8.61
10,2015-05-17,-99.06
09,2015-05-17,-20.4
01,2015-05-16,8506.61
02,2015-05-16,11899.86
03,2015-05-16,2246.44
04,2015-05-16,4693.85
05,2015-05-16,11034.54
06,2015-05-16,8557.62
07,2015-05-16,17727.68
08,2015-05-16,6724.13
10,2015-05-16,8529.46
09,2015-05-16,2649.24
01,2015-05-15,12895.24
02,2015-05-15,13628.21
03,2015-05-15,3943.74
04,2015-05-15,6303.76
05,2015-05-15,11501.66
06,2015-05-15,11804.09
07,2015-05-15,22152.21
08,2015-05-15,8698.65
10,2015-05-15,9857.32
09,2015-05-15,4341.74
01,2015-05-14,8910.18
02,2015-05-14,115.29
03,2015-05-14,54.14
04,2015-05-14,44.65
05,2015-05-14,61.1
06,2015-05-14,-211.62
07,2015-05-14,110.1
08,2015-05-14,-152.69
10,2015-05-14,227.23
09,2015-05-14,-120.2
01,2015-05-13,14385.59
02,2015-05-13,11484.56
03,2015-05-13,3657.59
04,2015-05-13,5007.7
05,2015-05-13,10374.28
06,2015-05-13,10602.27
07,2015-05-13,16852.2
08,2015-05-13,6377.69
10,2015-05-13,7547.82
09,2015-05-13,4704.86
01,2015-05-12,13682.32
02,2015-05-12,9214.24
03,2015-05-12,2839.33
04,2015-05-12,5388.65
05,2015-05-12,8297.67
06,2015-05-12,8765.04
07,2015-05-12,14416.38
08,2015-05-12,5666.42
10,2015-05-12,6578.32
09,2015-05-12,3855.86
01,2015-05-11,13050.36
02,2015-05-11,10487.29
03,2015-05-11,2850.54
04,2015-05-11,5023.31
05,2015-05-11,9000.65
06,2015-05-11,9341.46
07,2015-05-11,15715.61
08,2015-05-11,6163.73
10,2015-05-11,6690.32
09,2015-05-11,3889.01
01,2015-05-10,8606.98
02,2015-05-10,-21.37
03,2015-05-10,-42.35
04,2015-05-10,112.19
05,2015-05-10,87.67
06,2015-05-10,-38.94
07,2015-05-10,-103.35
08,2015-05-10,56.72
10,2015-05-10,49.87
09,2015-05-10,-71.4
01,2015-05-09,9377.97
02,2015-05-09,13688.96
03,2015-05-09,2408.3
04,2015-05-09,5559.46
05,2015-05-09,10415.41
06,2015-05-09,10057.37
07,2015-05-09,20044.55
08,2015-05-09,7666.7
10,2015-05-09,8279.97
09,2015-05-09,3411.36
01,2015-05-08,17073.62
02,2015-05-08,13975.74
03,2015-05-08,3924.14
04,2015-05-08,6785.57
05,2015-05-08,12089.49
06,2015-05-08,11464.93
07,2015-05-08,19386.11
08,2015-05-08,7358.87
10,2015-05-08,10682.26
09,2015-05-08,4692.02
01,2015-05-07,17682.94
02,2015-05-07,12855.65
03,2015-05-07,4417.28
04,2015-05-07,7206.25
05,2015-05-07,12108.97
06,2015-05-07,10698.12
07,2015-05-07,16727.34
08,2015-05-07,7405.02
10,2015-05-07,9911.27
09,2015-05-07,4984.32
01,2015-05-06,18365.99
02,2015-05-06,13961.13
03,2015-05-06,4562.27
04,2015-05-06,6559.77
05,2015-05-06,13079.82
06,2015-05-06,11650.58
07,2015-05-06,18741.45
08,2015-05-06,7869.89
10,2015-05-06,9847.97
09,2015-05-06,4934.05
01,2015-05-05,18578.47
02,2015-05-05,13865.96
03,2015-05-05,4292.79
04,2015-05-05,7074.46
05,2015-05-05,12384.66
06,2015-05-05,11362.53
07,2015-05-05,19551.22
08,2015-05-05,7942.83
10,2015-05-05,9228.92
09,2015-05-05,4613.94
01,2015-05-04,22720.92
02,2015-05-04,16684.32
03,2015-05-04,5215.18
04,2015-05-04,10039.52
05,2015-05-04,15131.5
06,2015-05-04,13520.62
07,2015-05-04,22082.69
08,2015-05-04,10038.36
10,2015-05-04,13328.33
09,2015-05-04,6372.27
01,2015-05-03,8620.61
02,2015-05-03,93.98
03,2015-05-03,8.03
04,2015-05-03,-274.18
05,2015-05-03,-11.33
06,2015-05-03,-13.79
07,2015-05-03,-37.38
08,2015-05-03,3.45
10,2015-05-03,-74.84
09,2015-05-03,134.82
01,2015-05-02,11174.36
02,2015-05-02,15571.71
03,2015-05-02,3169.75
04,2015-05-02,6708.83
05,2015-05-02,14581.03
06,2015-05-02,13653.07
07,2015-05-02,26360.05
08,2015-05-02,10126.26
10,2015-05-02,10251.79
09,2015-05-02,4600.45
01,2015-05-01,10230.37
02,2015-05-01,9.91
03,2015-05-01,143.52
04,2015-05-01,7.13
05,2015-05-01,-1.58
06,2015-05-01,-180.14
07,2015-05-01,159.38
08,2015-05-01,199.53
10,2015-05-01,-46.84
09,2015-05-01,-27.12
01,2015-04-30,22324.14
02,2015-04-30,14252.48
03,2015-04-30,5273.78
04,2015-04-30,9286.01
05,2015-04-30,18688.09
06,2015-04-30,14405.42
07,2015-04-30,23679.8
08,2015-04-30,10325.97
10,2015-04-30,10627.77
09,2015-04-30,6926.43
01,2015-04-29,20802.56
02,2015-04-29,14109.84
03,2015-04-29,4048.05
04,2015-04-29,8174.72
05,2015-04-29,15283.87
06,2015-04-29,12868.28
07,2015-04-29,18799.17
08,2015-04-29,7514.14
10,2015-04-29,10718.22
09,2015-04-29,4217.07
01,2015-04-28,20775.12
02,2015-04-28,16071.8
03,2015-04-28,4816.28
04,2015-04-28,8041.91
05,2015-04-28,14151.95
06,2015-04-28,11809.58
07,2015-04-28,17987.05
08,2015-04-28,7921.27
10,2015-04-28,10803.03
09,2015-04-28,4507.45
01,2015-04-27,21664.33
02,2015-04-27,14263.39
03,2015-04-27,4907.06
04,2015-04-27,9404.44
05,2015-04-27,16100.13
06,2015-04-27,12662.53
07,2015-04-27,19855.65
08,2015-04-27,8581.15
10,2015-04-27,12028.43
09,2015-04-27,6965.17
01,2015-04-26,7465.34
02,2015-04-26,44.59
03,2015-04-26,105.11
04,2015-04-26,-40.16
05,2015-04-26,-84.75
06,2015-04-26,253.98
07,2015-04-26,10.69
08,2015-04-26,94.69
10,2015-04-26,89.18
09,2015-04-26,-188.02
01,2015-04-25,8921.2
02,2015-04-25,10938.56
03,2015-04-25,1933.86
04,2015-04-25,3738.64
05,2015-04-25,9554.25
06,2015-04-25,8140.18
07,2015-04-25,15859.11
08,2015-04-25,6248.24
10,2015-04-25,7336.92
09,2015-04-25,2652.6
01,2015-04-24,11747.26
02,2015-04-24,9881.52
03,2015-04-24,2348.54
04,2015-04-24,4141.36
05,2015-04-24,8579.42
06,2015-04-24,8261.57
07,2015-04-24,13424.43
08,2015-04-24,4972.85
10,2015-04-24,6039.55
09,2015-04-24,2892.19
01,2015-04-23,11263.35
02,2015-04-23,9093.27
03,2015-04-23,2832.97
04,2015-04-23,4768.59
05,2015-04-23,7755.23
06,2015-04-23,8513.83
07,2015-04-23,12150.06
08,2015-04-23,4611.96
10,2015-04-23,6366.59
09,2015-04-23,3402.13
01,2015-04-22,12317.27
02,2015-04-22,9016.9
03,2015-04-22,2632.64
04,2015-04-22,4336.88
